id,title,description,link,image_link,additional_image_link,availability,price,brand,condition,identifier_exists,google_product_category,product_type,custom_label_0,custom_label_1,custom_label_2,shipping
twm-content-platinum,Content Creation Retainer — Platinum (Monthly),"Monthly content creation retainer: 12 entry videos or 8 one-set videos, 2 cinema expert or promo videos, 30 product shoots and edits, and 15 posters or advert designs.",https://thewellmedia.com/pricing#monthly-support,https://thewellmedia.com/assets/the-well/og-default.jpg,https://thewellmedia.com/assets/the-well/logos/android-chrome-512x512.png,in_stock,15000.00 ZAR,The Well Media,new,no,Business & Industrial > Advertising & Marketing,Media & Marketing Services,monthly,content-creation,Platinum,ZA:::0.00 ZAR
twm-management-silver,Content Management Retainer — Silver (Monthly),"Monthly content management for 2 social platforms, 4 posts with copywriting, social growth consultation, and ad management support up to R2 000.",https://thewellmedia.com/pricing#monthly-support,https://thewellmedia.com/assets/the-well/og-default.jpg,https://thewellmedia.com/assets/the-well/logos/android-chrome-512x512.png,in_stock,2500.00 ZAR,The Well Media,new,no,Business & Industrial > Advertising & Marketing,Media & Marketing Services,monthly,content-management,Silver,ZA:::0.00 ZAR
twm-management-gold,Content Management Retainer — Gold (Monthly),"Monthly content management for 3 social platforms, 8 posts with copywriting, growth consultations, ad management support up to R3 000, and website management adjustments.",https://thewellmedia.com/pricing#monthly-support,https://thewellmedia.com/assets/the-well/og-default.jpg,https://thewellmedia.com/assets/the-well/logos/android-chrome-512x512.png,in_stock,4000.00 ZAR,The Well Media,new,no,Business & Industrial > Advertising & Marketing,Media & Marketing Services,monthly,content-management,Gold,ZA:::0.00 ZAR
twm-management-platinum,Content Management Retainer — Platinum (Monthly),"Monthly content management for 4 social platforms, 16 posts with copywriting, growth consultations, ad management support, website adjustments, and online shop management.",https://thewellmedia.com/pricing#monthly-support,https://thewellmedia.com/assets/the-well/og-default.jpg,https://thewellmedia.com/assets/the-well/logos/android-chrome-512x512.png,in_stock,5000.00 ZAR,The Well Media,new,no,Business & Industrial > Advertising & Marketing,Media & Marketing Services,monthly,content-management,Platinum,ZA:::0.00 ZAR
twm-growth-silver,Business Growth Retainer — Silver (Monthly),"Monthly business growth retainer with product development, growth strategy sessions, marketing avenue strategy, event management support, and concept development.",https://thewellmedia.com/pricing#monthly-support,https://thewellmedia.com/assets/the-well/og-default.jpg,https://thewellmedia.com/assets/the-well/logos/android-chrome-512x512.png,in_stock,3000.00 ZAR,The Well Media,new,no,Business & Industrial > Advertising & Marketing,Media & Marketing Services,monthly,business-growth,Silver,ZA:::0.00 ZAR
twm-growth-gold,Business Growth Retainer — Gold (Monthly),"Monthly business growth retainer with expanded product development, strategy sessions, marketing avenue planning, event support, and concept development.",https://thewellmedia.com/pricing#monthly-support,https://thewellmedia.com/assets/the-well/og-default.jpg,https://thewellmedia.com/assets/the-well/logos/android-chrome-512x512.png,in_stock,5000.00 ZAR,The Well Media,new,no,Business & Industrial > Advertising & Marketing,Media & Marketing Services,monthly,business-growth,Gold,ZA:::0.00 ZAR
twm-growth-platinum,Business Growth Retainer — Platinum (Monthly),"Monthly business growth retainer with maximum product development, strategy sessions, marketing avenue planning, event support, and concept development.",https://thewellmedia.com/pricing#monthly-support,https://thewellmedia.com/assets/the-well/og-default.jpg,https://thewellmedia.com/assets/the-well/logos/android-chrome-512x512.png,in_stock,7000.00 ZAR,The Well Media,new,no,Business & Industrial > Advertising & Marketing,Media & Marketing Services,monthly,business-growth,Platinum,ZA:::0.00 ZAR
twm-ps-content-silver,Professional Content Creation — Silver (Monthly),"Monthly professional content creation: 2 short videos, 4 social posts, captions and copywriting, content planning, and filming every second month.",https://thewellmedia.com/pricing/professional-services#monthly-support,https://thewellmedia.com/assets/the-well/og-default.jpg,https://thewellmedia.com/assets/the-well/logos/android-chrome-512x512.png,in_stock,5000.00 ZAR,The Well Media,new,no,Business & Industrial > Advertising & Marketing,Media & Marketing Services,monthly,professional-services,Silver,ZA:::0.00 ZAR
twm-ps-content-gold,Professional Content Creation — Gold (Monthly),"Monthly professional content creation with podcast-style discussion every second month, short videos, social posts, captions, and monthly filming or content session.",https://thewellmedia.com/pricing/professional-services#monthly-support,https://thewellmedia.com/assets/the-well/og-default.jpg,https://thewellmedia.com/assets/the-well/logos/android-chrome-512x512.png,in_stock,10000.00 ZAR,The Well Media,new,no,Business & Industrial > Advertising & Marketing,Media & Marketing Services,monthly,professional-services,Gold,ZA:::0.00 ZAR
twm-ps-content-platinum,Professional Content Creation — Platinum (Monthly),"Monthly professional content creation with monthly podcast-style discussion, short videos, social posts, specialty video, captions, filming, and quarterly photography refresh.",https://thewellmedia.com/pricing/professional-services#monthly-support,https://thewellmedia.com/assets/the-well/og-default.jpg,https://thewellmedia.com/assets/the-well/logos/android-chrome-512x512.png,in_stock,15000.00 ZAR,The Well Media,new,no,Business & Industrial > Advertising & Marketing,Media & Marketing Services,monthly,professional-services,Platinum,ZA:::0.00 ZAR
twm-ps-management-silver,Professional Content Management — Silver (Monthly),Monthly professional content scheduling and publishing for one social platform with a basic content calendar and performance overview.,https://thewellmedia.com/pricing/professional-services#monthly-support,https://thewellmedia.com/assets/the-well/og-default.jpg,https://thewellmedia.com/assets/the-well/logos/android-chrome-512x512.png,in_stock,2500.00 ZAR,The Well Media,new,no,Business & Industrial > Advertising & Marketing,Media & Marketing Services,monthly,professional-services,Silver,ZA:::0.00 ZAR
twm-ps-management-gold,Professional Content Management — Gold (Monthly),"Monthly professional content management for up to two platforms, monthly calendar, Google Business Profile update, and performance report.",https://thewellmedia.com/pricing/professional-services#monthly-support,https://thewellmedia.com/assets/the-well/og-default.jpg,https://thewellmedia.com/assets/the-well/logos/android-chrome-512x512.png,in_stock,4000.00 ZAR,The Well Media,new,no,Business & Industrial > Advertising & Marketing,Media & Marketing Services,monthly,professional-services,Gold,ZA:::0.00 ZAR
twm-ps-management-platinum,Professional Content Management — Platinum (Monthly),"Monthly professional content management for up to three platforms, calendar, Google Business Profile updates, and performance reporting.",https://thewellmedia.com/pricing/professional-services#monthly-support,https://thewellmedia.com/assets/the-well/og-default.jpg,https://thewellmedia.com/assets/the-well/logos/android-chrome-512x512.png,in_stock,5000.00 ZAR,The Well Media,new,no,Business & Industrial > Advertising & Marketing,Media & Marketing Services,monthly,professional-services,Platinum,ZA:::0.00 ZAR
twm-ps-growth-silver,Professional Business Growth — Silver (Monthly),"Monthly professional growth support with strategy consultation, topic planning, consultation CTA recommendations, and visibility guidance.",https://thewellmedia.com/pricing/professional-services#monthly-support,https://thewellmedia.com/assets/the-well/og-default.jpg,https://thewellmedia.com/assets/the-well/logos/android-chrome-512x512.png,in_stock,3000.00 ZAR,The Well Media,new,no,Business & Industrial > Advertising & Marketing,Media & Marketing Services,monthly,professional-services,Silver,ZA:::0.00 ZAR
twm-ps-growth-gold,Professional Business Growth — Gold (Monthly),"Monthly professional growth support with specialty content planning, authority positioning, booking recommendations, and podcast topic development.",https://thewellmedia.com/pricing/professional-services#monthly-support,https://thewellmedia.com/assets/the-well/og-default.jpg,https://thewellmedia.com/assets/the-well/logos/android-chrome-512x512.png,in_stock,5000.00 ZAR,The Well Media,new,no,Business & Industrial > Advertising & Marketing,Media & Marketing Services,monthly,professional-services,Gold,ZA:::0.00 ZAR
twm-ps-growth-platinum,Professional Business Growth — Platinum (Monthly),"Monthly professional growth support with podcast-series development, thought-leadership planning, specialty positioning, and visibility strategy.",https://thewellmedia.com/pricing/professional-services#monthly-support,https://thewellmedia.com/assets/the-well/og-default.jpg,https://thewellmedia.com/assets/the-well/logos/android-chrome-512x512.png,in_stock,7000.00 ZAR,The Well Media,new,no,Business & Industrial > Advertising & Marketing,Media & Marketing Services,monthly,professional-services,Platinum,ZA:::0.00 ZAR
